City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,bandar abbas,27.1865,56.2808,26.99,65,75,4.12,IR,2024-04-08
211,mabaruma,8.2,-59.7833,33.68,41,41,3.48,GY,2024-04-08
212,gamboula,4.1178,15.1393,26.66,62,100,1.44,CF,2024-04-08
213,san martin,-33.081,-68.4681,23.3,39,5,4.05,AR,2024-04-08
214,sokoni,-6.4333,39.55,25.48,91,100,8.74,TZ,2024-04-08
215,teknaf,20.8624,92.3058,27.52,53,0,4.38,BD,2024-04-08
216,el oro de hidalgo,19.8,-100.1333,17.37,23,0,2.0,MX,2024-04-08
217,shitanjing,39.2342,106.3439,11.64,20,15,1.86,CN,2024-04-08
218,port moresby,-9.4431,147.1797,25.76,86,100,1.47,PG,2024-04-08
219,acarau,-2.8856,-40.12,28.19,79,62,2.05,BR,2024-04-08
220,bagalkot,16.1833,75.7,36.27,18,0,1.91,IN,2024-04-08
221,morehead city,34.7229,-76.726,20.0,62,0,2.06,US,2024-04-08
222,brigantine,39.4101,-74.3646,16.78,69,0,4.92,US,2024-04-08
223,aranyaprathet,13.6928,102.5013,29.27,67,6,4.08,TH,2024-04-08
224,tofol,5.3248,163.0078,27.4,79,100,8.31,FM,2024-04-08
225,salaga,8.5508,-0.5188,39.67,28,94,1.92,GH,2024-04-08
226,puerto lempira,15.2667,-83.7667,29.3,68,100,4.75,HN,2024-04-08
227,suntar,62.1444,117.6319,-4.13,95,100,3.72,RU,2024-04-08
228,bonito,-21.1211,-56.4819,28.94,72,63,2.54,BR,2024-04-08
229,nar'yan-mar,67.6713,53.087,-13.27,92,13,2.68,RU,2024-04-08
230,smithers,54.7804,-127.1743,0.81,88,84,1.35,CA,2024-04-08
231,sao jose da coroa grande,-8.8978,-35.1478,30.14,65,59,3.52,BR,2024-04-08
232,pelabuhanratu,-6.9875,106.5514,27.2,87,100,0.29,ID,2024-04-08
233,nemuro,43.3236,145.575,5.01,100,100,6.08,JP,2024-04-08
234,dryden,49.7833,-92.7503,4.16,56,100,4.12,CA,2024-04-08
235,aykhal,66.0,111.5,-14.75,85,15,5.14,RU,2024-04-08
236,enriquillo,17.9,-71.2333,31.82,60,12,4.93,DO,2024-04-08
237,qaqortoq,60.7167,-46.0333,-1.67,89,100,1.93,GL,2024-04-08
238,kathu,7.9178,98.3332,28.9,77,97,2.22,TH,2024-04-08
239,mount gambier,-37.8333,140.7667,10.24,69,59,3.48,AU,2024-04-08
240,nsanje,-16.92,35.262,28.47,68,95,2.7,MW,2024-04-08
241,kenai,60.5544,-151.2583,-3.81,94,20,0.0,US,2024-04-08
242,singarayakonda,15.25,80.0333,28.03,80,0,6.33,IN,2024-04-08
243,fortuna,40.5982,-124.1573,9.99,90,0,3.09,US,2024-04-08
244,port lincoln,-34.7333,135.8667,14.75,62,100,7.59,AU,2024-04-08
245,peterhead,57.5058,-1.7981,13.58,73,100,8.62,GB,2024-04-08
246,at taj,24.2049,23.2857,27.68,12,0,7.23,LY,2024-04-08
247,yuzhno-kurilsk,44.0306,145.8556,6.32,97,100,3.84,RU,2024-04-08
248,kashgar,39.4547,75.9797,16.18,25,75,3.05,CN,2024-04-08
249,tazovsky,67.4667,78.7,-11.08,94,69,4.55,RU,2024-04-08
250,snagov,44.7,26.1833,23.71,33,0,3.6,RO,2024-04-08
251,iwanai,42.9744,140.5089,6.97,88,100,2.58,JP,2024-04-08
252,isangel,-19.55,169.2667,24.47,90,100,3.08,VU,2024-04-08
253,chamical,-30.36,-66.314,19.98,72,98,4.64,AR,2024-04-08
254,brookings,44.3114,-96.7984,3.54,97,100,5.14,US,2024-04-08
255,buenos aires,-34.6132,-58.3772,23.32,85,100,10.28,AR,2024-04-08
256,lazaro cardenas,17.9583,-102.2,26.11,58,0,1.18,MX,2024-04-08
257,tocopilla,-22.092,-70.1979,22.6,70,6,5.05,CL,2024-04-08
258,kirakira,-10.4544,161.9205,26.75,85,99,2.89,SB,2024-04-08
259,howrah,22.5892,88.3103,27.0,57,40,0.0,IN,2024-04-08
260,rimouski,48.4488,-68.524,4.47,82,43,5.78,CA,2024-04-08
261,minot,48.2325,-101.2963,6.12,70,75,5.66,US,2024-04-08
262,codrington,-38.2667,141.9667,12.78,58,36,7.86,AU,2024-04-08
263,liwale,-9.7667,37.9333,23.3,95,99,1.85,TZ,2024-04-08
264,noyabrsk,63.1994,75.4507,-2.09,95,100,4.02,RU,2024-04-08
265,el nido,11.1858,119.3956,26.46,77,97,2.59,PH,2024-04-08
266,rongelap,11.1635,166.8941,27.04,80,74,9.39,MH,2024-04-08
